編號,資料長度,來源MAC,目的地MAC,Eth類型,時間戳記,來源IP,目的地IP,來源端口,目的地端口,第三層協議,第四層協議,距離上一個封包的時間差(秒),1秒內取消驗證封包數,1秒內Data封包數,是否為Broadcast,是否為重傳封包,訊號強度差值,是否為dos
57,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.002718,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.000265,1,32,否,False,0,否
58,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.002718,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.0,1,33,否,False,0,否
59,396,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.003409,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.000691,1,34,否,True,0,否
60,123,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.003409,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.0,1,35,否,False,0,否
61,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:40.003438,10.30.1.140,204.79.197.239,49170,443,6,TCP,2.9e-05,1,36,否,False,0,否
62,92,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:40.003767,10.30.1.140,204.79.197.239,49170,443,6,TCP,0.000329,1,37,否,True,0,否
63,92,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.004541,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.000774,1,38,否,False,0,否
64,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.012167,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.007626,1,39,否,False,0,否
65,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:40.044565,10.30.1.140,204.79.197.239,49170,443,6,TCP,0.032398,1,40,否,False,0,否
66,1138,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.067975,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.02341,1,41,否,True,0,否
67,92,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.068707,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.000732,1,42,否,False,0,否
68,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:40.068736,10.30.1.140,204.79.197.239,49170,443,6,TCP,2.9e-05,1,43,否,False,0,否
69,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.143641,52.36.23.153,10.30.1.140,443,49169,6,TCP,0.074905,1,44,否,False,0,否
70,1440,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.145571,52.36.23.153,10.30.1.140,443,49169,6,TCP,0.00193,1,45,否,True,0,否
71,1440,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.147052,52.36.23.153,10.30.1.140,443,49169,6,TCP,0.001481,1,46,否,False,0,否
72,1440,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.147052,52.36.23.153,10.30.1.140,443,49169,6,TCP,0.0,1,47,否,False,0,否
73,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:40.147097,10.30.1.140,52.36.23.153,49169,443,6,TCP,4.5e-05,1,48,否,False,0,否
74,1383,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.149013,52.36.23.153,10.30.1.140,443,49169,6,TCP,0.001916,1,49,否,False,0,否
75,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:40.149035,10.30.1.140,52.36.23.153,49169,443,6,TCP,2.2e-05,1,50,否,False,0,否
76,432,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:40.163144,10.30.1.140,52.36.23.153,49169,443,6,TCP,0.014109,1,51,否,True,0,否
77,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.433992,52.36.23.153,10.30.1.140,443,49169,6,TCP,0.270848,0,52,否,False,0,否
